date	close	average	avup	avdo
12/14/12	14.26	14.66	15.22	14.11
12/13/12	14.24	14.66	15.22	14.11
12/12/12	14.25	14.66	15.22	14.11
12/11/12	14.33	14.66	15.22	14.11
12/10/12	14.25	14.66	15.22	14.11
12/7/12	14.28	14.66	15.22	14.11
12/6/12	14.16	14.66	15.22	14.11
12/5/12	14.13	14.66	15.22	14.11
12/4/12	14.08	14.66	15.22	14.11
12/3/12	14.16	14.66	15.22	14.11
11/30/12	14.35	14.66	15.22	14.11
11/29/12	14.37	14.66	15.22	14.11
11/28/12	14.22	14.66	15.22	14.11
11/27/12	14.17	14.66	15.22	14.11
11/26/12	14.15	14.66	15.22	14.11
11/23/12	14.36	14.66	15.22	14.11
11/21/12	14.16	14.66	15.22	14.11
11/20/12	14.11	14.66	15.22	14.11
11/19/12	14.11	14.66	15.22	14.11
11/16/12	13.87	14.66	15.22	14.11
11/15/12	13.82	14.66	15.22	14.11
11/14/12	13.67	14.66	15.22	14.11
11/13/12	13.72	14.66	15.22	14.11
11/12/12	13.69	14.66	15.22	14.11
11/9/12	13.77	14.66	15.22	14.11
11/8/12	13.79	14.66	15.22	14.11
11/7/12	13.92	14.66	15.22	14.11
11/6/12	14.17	14.66	15.22	14.11
11/5/12	13.94	14.66	15.22	14.11
11/2/12	14.05	14.66	15.22	14.11
11/1/12	14.14	14.66	15.22	14.11
10/31/12	14.09	14.66	15.22	14.11
10/26/12	14.04	14.66	15.22	14.11
10/25/12	14.06	14.66	15.22	14.11
10/24/12	13.98	14.66	15.22	14.11
10/23/12	13.88	14.66	15.22	14.11
10/22/12	14.11	14.66	15.22	14.11
10/19/12	14.17	14.66	15.22	14.11
10/18/12	14.32	14.66	15.22	14.11
10/17/12	14.29	14.66	15.22	14.11
10/16/12	14.35	14.66	15.22	14.11
10/15/12	14.43	14.66	15.22	14.11
10/12/12	14.46	14.66	15.22	14.11
10/11/12	14.42	14.66	15.22	14.11
10/10/12	14.41	14.66	15.22	14.11
10/9/12	14.58	14.66	15.22	14.11
10/8/12	14.59	14.66	15.22	14.11
10/5/12	14.59	14.66	15.22	14.11
10/4/12	14.5	14.66	15.22	14.11
10/3/12	14.47	14.66	15.22	14.11
10/2/12	14.5	14.66	15.22	14.11
10/1/12	14.52	14.66	15.22	14.11
9/28/12	14.58	14.66	15.22	14.11
9/27/12	14.72	14.66	15.22	14.11
9/26/12	14.52	14.66	15.22	14.11
9/25/12	14.49	14.66	15.22	14.11
9/24/12	14.65	14.66	15.22	14.11
9/21/12	14.62	14.66	15.22	14.11
9/20/12	14.84	14.66	15.22	14.11
9/19/12	14.8	14.66	15.22	14.11
9/18/12	14.83	14.66	15.22	14.11
9/17/12	14.73	14.66	15.22	14.11
9/14/12	14.65	14.66	15.22	14.11
9/13/12	14.73	14.66	15.22	14.11
9/12/12	14.45	14.66	15.22	14.11
9/11/12	14.53	14.66	15.22	14.11
9/10/12	14.49	14.66	15.22	14.11
9/7/12	14.57	14.66	15.22	14.11
9/6/12	14.66	14.66	15.22	14.11
9/5/12	14.43	14.66	15.22	14.11
9/4/12	14.35	14.66	15.22	14.11
8/31/12	14.39	14.66	15.22	14.11
8/30/12	14.3	14.66	15.22	14.11
8/29/12	14.41	14.66	15.22	14.11
8/28/12	14.61	14.66	15.22	14.11
8/27/12	14.67	14.66	15.22	14.11
8/24/12	14.78	14.66	15.22	14.11
8/23/12	14.65	14.66	15.22	14.11
8/22/12	14.89	14.66	15.22	14.11
8/21/12	15.06	14.66	15.22	14.11
8/20/12	15.14	14.66	15.22	14.11
8/17/12	15.16	14.66	15.22	14.11
8/16/12	15.17	14.66	15.22	14.11
8/15/12	15.1	14.66	15.22	14.11
8/14/12	15.11	14.66	15.22	14.11
8/13/12	15.08	14.66	15.22	14.11
8/10/12	15.11	14.66	15.22	14.11
8/9/12	15.19	14.66	15.22	14.11
8/8/12	15.25	14.66	15.22	14.11
8/7/12	15.29	14.66	15.22	14.11
8/6/12	15.45	14.66	15.22	14.11
8/3/12	15.48	14.66	15.22	14.11
8/2/12	15.29	14.66	15.22	14.11
8/1/12	15.51	14.66	15.22	14.11
7/31/12	15.48	14.66	15.22	14.11
7/30/12	15.53	14.66	15.22	14.11
7/27/12	15.33	14.66	15.22	14.11
7/26/12	15.12	14.66	15.22	14.11
7/25/12	14.79	14.66	15.22	14.11
7/24/12	14.73	14.66	15.22	14.11
7/23/12	14.77	14.66	15.22	14.11
7/20/12	14.79	14.66	15.22	14.11
7/19/12	14.89	14.66	15.22	14.11
7/18/12	14.87	14.66	15.22	14.11
7/17/12	14.91	14.66	15.22	14.11
7/16/12	14.7	14.66	15.22	14.11
7/13/12	14.84	14.66	15.22	14.11
7/12/12	14.72	14.66	15.22	14.11
7/11/12	14.87	14.66	15.22	14.11
7/10/12	14.97	14.66	15.22	14.11
7/9/12	14.97	14.66	15.22	14.11
7/6/12	15	14.66	15.22	14.11
7/5/12	15.05	14.66	15.22	14.11
7/3/12	15.18	14.66	15.22	14.11
7/2/12	15.14	14.66	15.22	14.11
6/29/12	15.24	14.66	15.22	14.11
6/28/12	14.94	14.66	15.22	14.11
6/27/12	14.9	14.66	15.22	14.11
6/26/12	14.67	14.66	15.22	14.11
6/25/12	14.61	14.66	15.22	14.11
6/22/12	14.64	14.66	15.22	14.11
6/21/12	14.59	14.66	15.22	14.11
6/20/12	14.76	14.66	15.22	14.11
6/19/12	14.79	14.66	15.22	14.11
6/18/12	14.83	14.66	15.22	14.11
6/15/12	14.85	14.66	15.22	14.11
6/14/12	14.79	14.66	15.22	14.11
6/13/12	14.6	14.66	15.22	14.11
6/12/12	14.69	14.66	15.22	14.11
6/11/12	14.59	14.66	15.22	14.11
6/8/12	14.7	14.66	15.22	14.11
6/7/12	14.52	14.66	15.22	14.11
6/6/12	14.58	14.66	15.22	14.11
6/5/12	14.33	14.66	15.22	14.11
6/4/12	14.4	14.66	15.22	14.11
6/1/12	14.3	14.66	15.22	14.11
5/31/12	14.6	14.66	15.22	14.11
5/30/12	14.66	14.66	15.22	14.11
5/29/12	14.74	14.66	15.22	14.11
5/25/12	14.7	14.66	15.22	14.11
5/24/12	14.76	14.66	15.22	14.11
5/23/12	14.57	14.66	15.22	14.11
